21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=3 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=4 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=5 ms
21:05:38 - POST /tai-khoan/refresh-token | user=viet_mai | time=6 ms
